,Company ID,Month,Exchange,Commodity Code,Rebates
98,104,2020-09-01,ABCD,KQI,-6933.0
99,104,2020-09-01,ABCD,MYF,-2254.8
100,104,2020-09-01,ABCD,QEK,-234.0
101,104,2020-09-01,ABCD,TDS,-1263.4
102,104,2020-09-01,ABCD,UFY,-7070.0
103,104,2020-09-01,EFGH,DCS,-1631.4
105,104,2020-09-01,EFGH,WXG,-1094.7
106,104,2020-09-01,EFGH,XSX,-1118.6
108,104,2020-10-01,ABCD,GRH,-10226.65
109,104,2020-10-01,ABCD,KMS,-15376.1
110,104,2020-10-01,ABCD,KQI,-6038.0
111,104,2020-10-01,ABCD,MYF,-3144.3
112,104,2020-10-01,ABCD,QEK,-394.8
113,104,2020-10-01,ABCD,TDS,-1695.9
114,104,2020-10-01,ABCD,UFY,-12867.05
115,104,2020-10-01,EFGH,DCS,-1736.7
117,104,2020-10-01,EFGH,WXG,-1644.9
118,104,2020-10-01,EFGH,XSX,-1119.8
120,104,2020-11-01,ABCD,GRH,-7589.05
121,104,2020-11-01,ABCD,KMS,-12465.05
122,104,2020-11-01,ABCD,KQI,-4383.4
123,104,2020-11-01,ABCD,MYF,-2479.8
124,104,2020-11-01,ABCD,QEK,-406.5
125,104,2020-11-01,ABCD,TDS,-1283.5
126,104,2020-11-01,ABCD,UFY,-6872.95
127,104,2020-11-01,EFGH,DCS,-1740.9
129,104,2020-11-01,EFGH,WXG,-377.9
130,104,2020-11-01,EFGH,XSX,-1336.2
132,104,2020-12-01,ABCD,GRH,-6242.95
133,104,2020-12-01,ABCD,KMS,-13433.7
134,104,2020-12-01,ABCD,KQI,-4532.0
135,104,2020-12-01,ABCD,MYF,-2061.15
137,104,2020-12-01,ABCD,TDS,-985.6
138,104,2020-12-01,ABCD,UFY,-6329.05
139,104,2020-12-01,EFGH,DCS,-2196.15
141,104,2020-12-01,EFGH,WXG,-453.9
142,104,2020-12-01,EFGH,XSX,-591.4
144,104,2021-01-01,ABCD,GRH,-7502.95
145,104,2021-01-01,ABCD,KMS,-11038.95
146,104,2021-01-01,ABCD,KQI,-5246.4
147,104,2021-01-01,ABCD,MYF,-1668.75
149,104,2021-01-01,ABCD,TDS,-995.0
150,104,2021-01-01,ABCD,UFY,-6774.6
151,104,2021-01-01,EFGH,DCS,-1660.8
153,104,2021-01-01,EFGH,WXG,-449.1
154,104,2021-01-01,EFGH,XSX,-414.2
156,104,2021-02-01,ABCD,GRH,-8720.6
157,104,2021-02-01,ABCD,KMS,-10880.15
158,104,2021-02-01,ABCD,KQI,-4618.2
159,104,2021-02-01,ABCD,MYF,-1973.4
160,104,2021-02-01,ABCD,QEK,-43.2
161,104,2021-02-01,ABCD,TDS,-941.6
162,104,2021-02-01,ABCD,UFY,-5957.0
163,104,2021-02-01,EFGH,DCS,-1194.9
165,104,2021-02-01,EFGH,WXG,-743.8
166,104,2021-02-01,EFGH,XSX,-1141.0
168,104,2021-03-01,ABCD,GRH,-12601.75
169,104,2021-03-01,ABCD,KMS,-19004.6
170,104,2021-03-01,ABCD,KQI,-6093.2
171,104,2021-03-01,ABCD,MYF,-3488.4
172,104,2021-03-01,ABCD,QEK,-1984.2
173,104,2021-03-01,ABCD,TDS,-2197.7
174,104,2021-03-01,ABCD,UFY,-11314.8
175,104,2021-03-01,EFGH,DCS,-4155.75
177,104,2021-03-01,EFGH,WXG,-1851.6
178,104,2021-03-01,EFGH,XSX,-3230.8
180,104,2021-04-01,ABCD,GRH,-6380.5
181,104,2021-04-01,ABCD,KMS,-12271.05
182,104,2021-04-01,ABCD,KQI,-3742.8
183,104,2021-04-01,ABCD,MYF,-2837.25
185,104,2021-04-01,ABCD,TDS,-1125.8
186,104,2021-04-01,ABCD,UFY,-4944.1
187,104,2021-04-01,EFGH,DCS,-921.45
189,104,2021-04-01,EFGH,WXG,-1086.5
190,104,2021-04-01,EFGH,XSX,-736.6
192,104,2021-05-01,ABCD,GRH,-7801.15
193,104,2021-05-01,ABCD,KMS,-11146.1
194,104,2021-05-01,ABCD,KQI,-4730.0
195,104,2021-05-01,ABCD,MYF,-2126.55
197,104,2021-05-01,ABCD,TDS,-957.4
198,104,2021-05-01,ABCD,UFY,-4833.85
199,104,2021-05-01,EFGH,DCS,-886.35
201,104,2021-05-01,EFGH,WXG,-257.1
202,104,2021-05-01,EFGH,XSX,-156.8
204,104,2021-06-01,ABCD,GRH,-8011.85
205,104,2021-06-01,ABCD,KMS,-12809.15
206,104,2021-06-01,ABCD,KQI,-4778.4
207,104,2021-06-01,ABCD,MYF,-1596.15
208,104,2021-06-01,ABCD,QEK,-585.9
209,104,2021-06-01,ABCD,TDS,-1185.4
210,104,2021-06-01,ABCD,UFY,-6829.9
211,104,2021-06-01,EFGH,DCS,-1637.4
213,104,2021-06-01,EFGH,WXG,-894.0
214,104,2021-06-01,EFGH,XSX,-1959.2
216,104,2021-07-01,ABCD,GRH,-5377.75
217,104,2021-07-01,ABCD,KMS,-15276.75
218,104,2021-07-01,ABCD,KQI,-3982.2
219,104,2021-07-01,ABCD,MYF,-1641.3
221,104,2021-07-01,ABCD,TDS,-860.8
222,104,2021-07-01,ABCD,UFY,-4623.5
223,104,2021-07-01,EFGH,DCS,-1219.05
225,104,2021-07-01,EFGH,WXG,-501.2
226,104,2021-07-01,EFGH,XSX,-1188.0
228,104,2021-08-01,ABCD,GRH,-6364.4
229,104,2021-08-01,ABCD,KMS,-13621.3
230,104,2021-08-01,ABCD,KQI,-4713.4
231,104,2021-08-01,ABCD,MYF,-1816.05
233,104,2021-08-01,ABCD,TDS,-1146.3
234,104,2021-08-01,ABCD,UFY,-6561.8
235,104,2021-08-01,EFGH,DCS,-1303.5
237,104,2021-08-01,EFGH,WXG,-622.4
238,104,2021-08-01,EFGH,XSX,-1167.2
240,104,2021-09-01,ABCD,GRH,-7953.4
241,104,2021-09-01,ABCD,KMS,-13831.8
242,104,2021-09-01,ABCD,KQI,-4474.6
243,104,2021-09-01,ABCD,MYF,-2695.8
244,104,2021-09-01,ABCD,QEK,-711.0
245,104,2021-09-01,ABCD,TDS,-1428.0
246,104,2021-09-01,ABCD,UFY,-8346.45
247,104,2021-09-01,EFGH,DCS,-1663.65
249,104,2021-09-01,EFGH,WXG,-841.1
250,104,2021-09-01,EFGH,XSX,-2377.4
252,104,2021-10-01,ABCD,GRH,-8384.25
253,104,2021-10-01,ABCD,KMS,-18483.3
254,104,2021-10-01,ABCD,KQI,-5846.2
255,104,2021-10-01,ABCD,MYF,-3248.7
256,104,2021-10-01,ABCD,QEK,-855.3
257,104,2021-10-01,ABCD,TDS,-1590.8
258,104,2021-10-01,ABCD,UFY,-8449.7
259,104,2021-10-01,EFGH,DCS,-1749.45
261,104,2021-10-01,EFGH,WXG,-1129.8
262,104,2021-10-01,EFGH,XSX,-2233.6
264,104,2021-11-01,ABCD,GRH,-7600.95
265,104,2021-11-01,ABCD,KMS,-13148.4
266,104,2021-11-01,ABCD,KQI,-4614.0
267,104,2021-11-01,ABCD,MYF,-2837.4
268,104,2021-11-01,ABCD,QEK,-219.9
269,104,2021-11-01,ABCD,TDS,-1430.8
270,104,2021-11-01,ABCD,UFY,-5896.1
271,104,2021-11-01,EFGH,DCS,-1720.35
273,104,2021-11-01,EFGH,WXG,-998.8
274,104,2021-11-01,EFGH,XSX,-1771.6
276,104,2021-12-01,ABCD,GRH,-7232.05
277,104,2021-12-01,ABCD,KMS,-12462.75
278,104,2021-12-01,ABCD,KQI,-4244.2
279,104,2021-12-01,ABCD,MYF,-2208.3
281,104,2021-12-01,ABCD,TDS,-1167.6
282,104,2021-12-01,ABCD,UFY,-6956.25
283,104,2021-12-01,EFGH,DCS,-840.3
285,104,2021-12-01,EFGH,WXG,-507.1
286,104,2021-12-01,EFGH,XSX,-1033.0
288,104,2022-01-01,ABCD,GRH,-8049.3
289,104,2022-01-01,ABCD,KMS,-12358.35
290,104,2022-01-01,ABCD,KQI,-5829.4
291,104,2022-01-01,ABCD,MYF,-2257.5
293,104,2022-01-01,ABCD,TDS,-1333.3
294,104,2022-01-01,ABCD,UFY,-5042.45
295,104,2022-01-01,EFGH,DCS,-1714.05
297,104,2022-01-01,EFGH,WXG,-712.1
298,104,2022-01-01,EFGH,XSX,-1725.2
300,104,2022-02-01,ABCD,GRH,-9393.3
301,104,2022-02-01,ABCD,KMS,-12473.2
302,104,2022-02-01,ABCD,KQI,-5457.4
303,104,2022-02-01,ABCD,MYF,-2131.2
304,104,2022-02-01,ABCD,QEK,-254.7
305,104,2022-02-01,ABCD,TDS,-1665.6
306,104,2022-02-01,ABCD,UFY,-6050.45
307,104,2022-02-01,EFGH,DCS,-1363.95
309,104,2022-02-01,EFGH,WXG,-837.9
310,104,2022-02-01,EFGH,XSX,-1251.6
312,104,2022-03-01,ABCD,GRH,-10411.8
313,104,2022-03-01,ABCD,KMS,-16889.2
314,104,2022-03-01,ABCD,KQI,-6982.6
315,104,2022-03-01,ABCD,MYF,-3739.05
316,104,2022-03-01,ABCD,QEK,-1059.0
317,104,2022-03-01,ABCD,TDS,-1710.3
318,104,2022-03-01,ABCD,UFY,-11157.65
319,104,2022-03-01,EFGH,DCS,-2146.35
321,104,2022-03-01,EFGH,WXG,-2330.1
322,104,2022-03-01,EFGH,XSX,-2346.0
324,104,2022-04-01,ABCD,GRH,-5786.55
325,104,2022-04-01,ABCD,KMS,-9919.05
326,104,2022-04-01,ABCD,KQI,-4230.0
327,104,2022-04-01,ABCD,MYF,-1559.1
328,104,2022-04-01,ABCD,QEK,-90.3
329,104,2022-04-01,ABCD,TDS,-611.9
330,104,2022-04-01,ABCD,UFY,-3749.2
331,104,2022-04-01,EFGH,DCS,-1577.55
333,104,2022-04-01,EFGH,WXG,-887.6
334,104,2022-04-01,EFGH,XSX,-470.6
336,104,2022-05-01,ABCD,GRH,-5440.05
337,104,2022-05-01,ABCD,KMS,-12310.0
338,104,2022-05-01,ABCD,KQI,-4226.0
339,104,2022-05-01,ABCD,MYF,-2106.75
340,104,2022-05-01,ABCD,QEK,-198.0
341,104,2022-05-01,ABCD,TDS,-848.2
342,104,2022-05-01,ABCD,UFY,-4971.4
343,104,2022-05-01,EFGH,DCS,-800.1
345,104,2022-05-01,EFGH,WXG,-632.0
346,104,2022-05-01,EFGH,XSX,-466.4
348,104,2022-06-01,ABCD,GRH,-8353.1
349,104,2022-06-01,ABCD,KMS,-12290.65
350,104,2022-06-01,ABCD,KQI,-5145.2
351,104,2022-06-01,ABCD,MYF,-2347.95
353,104,2022-06-01,ABCD,TDS,-1051.2
354,104,2022-06-01,ABCD,UFY,-5996.9
355,104,2022-06-01,EFGH,DCS,-1199.1
357,104,2022-06-01,EFGH,WXG,-1114.5
358,104,2022-06-01,EFGH,XSX,-1171.4
360,104,2022-07-01,ABCD,GRH,-5789.0
361,104,2022-07-01,ABCD,KMS,-9761.1
362,104,2022-07-01,ABCD,KQI,-4116.2
363,104,2022-07-01,ABCD,MYF,-1281.75
365,104,2022-07-01,ABCD,TDS,-1170.9
366,104,2022-07-01,ABCD,UFY,-3497.55
367,104,2022-07-01,EFGH,DCS,-387.0
369,104,2022-07-01,EFGH,WXG,-808.9
370,104,2022-07-01,EFGH,XSX,-116.8
372,104,2022-08-01,ABCD,GRH,-7327.25
373,104,2022-08-01,ABCD,KMS,-13769.0
374,104,2022-08-01,ABCD,KQI,-4436.4
375,104,2022-08-01,ABCD,MYF,-2346.6
377,104,2022-08-01,ABCD,TDS,-1048.1
378,104,2022-08-01,ABCD,UFY,-5659.15
379,104,2022-08-01,EFGH,DCS,-1893.6
381,104,2022-08-01,EFGH,WXG,-636.4
382,104,2022-08-01,EFGH,XSX,-830.8
384,104,2022-09-01,ABCD,GRH,-8037.75
385,104,2022-09-01,ABCD,KMS,-17825.05
386,104,2022-09-01,ABCD,KQI,-6951.8
387,104,2022-09-01,ABCD,MYF,-2432.1
388,104,2022-09-01,ABCD,QEK,-541.8
389,104,2022-09-01,ABCD,TDS,-1541.9
390,104,2022-09-01,ABCD,UFY,-7549.85
391,104,2022-09-01,EFGH,DCS,-1397.1
393,104,2022-09-01,EFGH,WXG,-1038.3
394,104,2022-09-01,EFGH,XSX,-1422.2
396,104,2022-10-01,ABCD,GRH,-9222.15
397,104,2022-10-01,ABCD,KMS,-11845.15
398,104,2022-10-01,ABCD,KQI,-7410.8
399,104,2022-10-01,ABCD,MYF,-1901.85
400,104,2022-10-01,ABCD,QEK,-370.5
401,104,2022-10-01,ABCD,TDS,-1253.3
402,104,2022-10-01,ABCD,UFY,-8193.15
403,104,2022-10-01,EFGH,DCS,-1874.1
405,104,2022-10-01,EFGH,WXG,-1248.2
406,104,2022-10-01,EFGH,XSX,-1221.8
408,104,2022-11-01,ABCD,GRH,-7121.8
409,104,2022-11-01,ABCD,KMS,-12863.45
410,104,2022-11-01,ABCD,KQI,-4605.8
411,104,2022-11-01,ABCD,MYF,-1772.25
412,104,2022-11-01,ABCD,QEK,-521.1
413,104,2022-11-01,ABCD,TDS,-1165.0
414,104,2022-11-01,ABCD,UFY,-7384.65
415,104,2022-11-01,EFGH,DCS,-1626.0
417,104,2022-11-01,EFGH,WXG,-1790.6
418,104,2022-11-01,EFGH,XSX,-2126.2
420,104,2022-12-01,ABCD,GRH,-7827.75
421,104,2022-12-01,ABCD,KMS,-10353.5
422,104,2022-12-01,ABCD,KQI,-4303.6
423,104,2022-12-01,ABCD,MYF,-1874.25
425,104,2022-12-01,ABCD,TDS,-1603.6
426,104,2022-12-01,ABCD,UFY,-5820.85
427,104,2022-12-01,EFGH,DCS,-576.9
429,104,2022-12-01,EFGH,WXG,-747.5
430,104,2022-12-01,EFGH,XSX,-729.2
432,104,2023-01-01,ABCD,GRH,-6784.75
433,104,2023-01-01,ABCD,KMS,-12325.85
434,104,2023-01-01,ABCD,KQI,-5486.8
435,104,2023-01-01,ABCD,MYF,-2254.95
436,104,2023-01-01,ABCD,QEK,-233.1
437,104,2023-01-01,ABCD,TDS,-1242.8
438,104,2023-01-01,ABCD,UFY,-6540.8
439,104,2023-01-01,EFGH,DCS,-1114.65
441,104,2023-01-01,EFGH,WXG,-531.6
442,104,2023-01-01,EFGH,XSX,-452.0
444,104,2023-02-01,ABCD,GRH,-6580.0
445,104,2023-02-01,ABCD,KMS,-13796.1
446,104,2023-02-01,ABCD,KQI,-5238.4
447,104,2023-02-01,ABCD,MYF,-2754.45
449,104,2023-02-01,ABCD,TDS,-1363.8
450,104,2023-02-01,ABCD,UFY,-7459.55
451,104,2023-02-01,EFGH,DCS,-1124.55
453,104,2023-02-01,EFGH,WXG,-589.3
454,104,2023-02-01,EFGH,XSX,-804.0
456,104,2023-03-01,ABCD,GRH,-12085.5
457,104,2023-03-01,ABCD,KMS,-14608.7
458,104,2023-03-01,ABCD,KQI,-6687.0
459,104,2023-03-01,ABCD,MYF,-4416.75
460,104,2023-03-01,ABCD,QEK,-1029.0
461,104,2023-03-01,ABCD,TDS,-2543.5
462,104,2023-03-01,ABCD,UFY,-8928.85
463,104,2023-03-01,EFGH,DCS,-2309.4
465,104,2023-03-01,EFGH,WXG,-1344.3
466,104,2023-03-01,EFGH,XSX,-2548.6
468,104,2023-04-01,ABCD,GRH,-6318.55
469,104,2023-04-01,ABCD,KMS,-9328.95
470,104,2023-04-01,ABCD,KQI,-3714.8
471,104,2023-04-01,ABCD,MYF,-970.8
472,104,2023-04-01,ABCD,QEK,-470.4
473,104,2023-04-01,ABCD,TDS,-800.3
474,104,2023-04-01,ABCD,UFY,-4843.65
475,104,2023-04-01,EFGH,DCS,-466.05
477,104,2023-04-01,EFGH,WXG,-520.8
478,104,2023-04-01,EFGH,XSX,-340.6
480,104,2023-05-01,ABCD,GRH,-7136.85
481,104,2023-05-01,ABCD,KMS,-12802.5
482,104,2023-05-01,ABCD,KQI,-4805.8
483,104,2023-05-01,ABCD,MYF,-2279.85
485,104,2023-05-01,ABCD,TDS,-826.1
486,104,2023-05-01,ABCD,UFY,-5167.75
487,104,2023-05-01,EFGH,DCS,-1172.4
489,104,2023-05-01,EFGH,WXG,-209.1
490,104,2023-05-01,EFGH,XSX,-1338.6
492,104,2023-06-01,ABCD,GRH,-6583.85
493,104,2023-06-01,ABCD,KMS,-13484.55
494,104,2023-06-01,ABCD,KQI,-4904.4
495,104,2023-06-01,ABCD,MYF,-2194.35
496,104,2023-06-01,ABCD,QEK,-17.7
497,104,2023-06-01,ABCD,TDS,-1428.5
498,104,2023-06-01,ABCD,UFY,-6228.6
499,104,2023-06-01,EFGH,DCS,-1355.25
501,104,2023-06-01,EFGH,WXG,-873.1
502,104,2023-06-01,EFGH,XSX,-1722.4
504,104,2023-07-01,ABCD,GRH,-5290.25
505,104,2023-07-01,ABCD,KMS,-10125.2
506,104,2023-07-01,ABCD,KQI,-3607.0
507,104,2023-07-01,ABCD,MYF,-917.1
509,104,2023-07-01,ABCD,TDS,-885.6
510,104,2023-07-01,ABCD,UFY,-6324.15
511,104,2023-07-01,EFGH,DCS,-1635.0
513,104,2023-07-01,EFGH,WXG,-479.9
514,104,2023-07-01,EFGH,XSX,-7.4
516,104,2023-08-01,ABCD,GRH,-6891.15
517,104,2023-08-01,ABCD,KMS,-13790.05
518,104,2023-08-01,ABCD,KQI,-5286.0
519,104,2023-08-01,ABCD,MYF,-2766.0
521,104,2023-08-01,ABCD,TDS,-918.0
522,104,2023-08-01,ABCD,UFY,-5029.85
523,104,2023-08-01,EFGH,DCS,-1362.9
525,104,2023-08-01,EFGH,WXG,-755.0
526,104,2023-08-01,EFGH,XSX,-1646.4
528,104,2023-09-01,ABCD,GRH,-7556.5
529,104,2023-09-01,ABCD,KMS,-11583.8
530,104,2023-09-01,ABCD,KQI,-4245.8
531,104,2023-09-01,ABCD,MYF,-3041.85
532,104,2023-09-01,ABCD,QEK,-518.1
533,104,2023-09-01,ABCD,TDS,-1510.9
534,104,2023-09-01,ABCD,UFY,-5231.1
535,104,2023-09-01,EFGH,DCS,-1119.6
537,104,2023-09-01,EFGH,WXG,-1210.0
538,104,2023-09-01,EFGH,XSX,-2335.4
540,104,2023-10-01,ABCD,GRH,-8831.55
541,104,2023-10-01,ABCD,KMS,-12954.7
542,104,2023-10-01,ABCD,KQI,-5253.0
543,104,2023-10-01,ABCD,MYF,-3021.15
544,104,2023-10-01,ABCD,QEK,-1275.9
545,104,2023-10-01,ABCD,TDS,-1495.8
546,104,2023-10-01,ABCD,UFY,-7133.35
547,104,2023-10-01,EFGH,DCS,-1269.45
549,104,2023-10-01,EFGH,WXG,-986.7
550,104,2023-10-01,EFGH,XSX,-1537.4
552,104,2023-11-01,ABCD,GRH,-9473.1
553,104,2023-11-01,ABCD,KMS,-13381.2
554,104,2023-11-01,ABCD,KQI,-4250.0
555,104,2023-11-01,ABCD,MYF,-1330.2
557,104,2023-11-01,ABCD,TDS,-1379.9
558,104,2023-11-01,ABCD,UFY,-4792.9
559,104,2023-11-01,EFGH,DCS,-1629.0
561,104,2023-11-01,EFGH,WXG,-677.7
562,104,2023-11-01,EFGH,XSX,-816.4
564,104,2023-12-01,ABCD,GRH,-5307.05
565,104,2023-12-01,ABCD,KMS,-11227.3
566,104,2023-12-01,ABCD,KQI,-3979.8
567,104,2023-12-01,ABCD,MYF,-1196.85
569,104,2023-12-01,ABCD,TDS,-1128.5
570,104,2023-12-01,ABCD,UFY,-3981.6
571,104,2023-12-01,EFGH,DCS,-523.5
573,104,2023-12-01,EFGH,WXG,-342.0
574,104,2023-12-01,EFGH,XSX,-497.2
576,104,2024-01-01,ABCD,GRH,-7094.85
577,104,2024-01-01,ABCD,KMS,-13121.9
578,104,2024-01-01,ABCD,KQI,-4615.0
579,104,2024-01-01,ABCD,MYF,-1585.95
580,104,2024-01-01,ABCD,QEK,-57.0
581,104,2024-01-01,ABCD,TDS,-1071.5
582,104,2024-01-01,ABCD,UFY,-5055.4
583,104,2024-01-01,EFGH,DCS,-962.25
585,104,2024-01-01,EFGH,WXG,-1366.9
586,104,2024-01-01,EFGH,XSX,-1025.2
588,104,2024-02-01,ABCD,GRH,-7198.8
589,104,2024-02-01,ABCD,KMS,-15314.6
590,104,2024-02-01,ABCD,KQI,-4775.4
591,104,2024-02-01,ABCD,MYF,-1977.15
592,104,2024-02-01,ABCD,QEK,-765.9
593,104,2024-02-01,ABCD,TDS,-1198.7
594,104,2024-02-01,ABCD,UFY,-7710.85
595,104,2024-02-01,EFGH,DCS,-1806.6
597,104,2024-02-01,EFGH,WXG,-1202.7
598,104,2024-02-01,EFGH,XSX,-617.0
600,104,2024-03-01,ABCD,GRH,-8910.3
601,104,2024-03-01,ABCD,KMS,-13136.65
602,104,2024-03-01,ABCD,KQI,-6296.6
603,104,2024-03-01,ABCD,MYF,-2220.0
604,104,2024-03-01,ABCD,QEK,-674.4
605,104,2024-03-01,ABCD,TDS,-1626.4
606,104,2024-03-01,ABCD,UFY,-5821.2
607,104,2024-03-01,EFGH,DCS,-1395.75
609,104,2024-03-01,EFGH,WXG,-1150.2
610,104,2024-03-01,EFGH,XSX,-2030.2
612,104,2024-04-01,ABCD,GRH,-5927.25
613,104,2024-04-01,ABCD,KMS,-13869.15
614,104,2024-04-01,ABCD,KQI,-4346.8
615,104,2024-04-01,ABCD,MYF,-1981.8
617,104,2024-04-01,ABCD,TDS,-903.8
618,104,2024-04-01,ABCD,UFY,-6286.7
619,104,2024-04-01,EFGH,DCS,-1431.0
621,104,2024-04-01,EFGH,WXG,-707.1
622,104,2024-04-01,EFGH,XSX,-1703.8
624,104,2024-05-01,ABCD,GRH,-6129.55
625,104,2024-05-01,ABCD,KMS,-11292.75
626,104,2024-05-01,ABCD,KQI,-4621.8
627,104,2024-05-01,ABCD,MYF,-1922.7
628,104,2024-05-01,ABCD,QEK,-80.1
629,104,2024-05-01,ABCD,TDS,-1117.1
630,104,2024-05-01,ABCD,UFY,-4455.5
631,104,2024-05-01,EFGH,DCS,-1052.4
633,104,2024-05-01,EFGH,WXG,-648.8
634,104,2024-05-01,EFGH,XSX,-1088.2
636,104,2024-06-01,ABCD,GRH,-5916.75
637,104,2024-06-01,ABCD,KMS,-13068.75
638,104,2024-06-01,ABCD,KQI,-4018.6
639,104,2024-06-01,ABCD,MYF,-1705.8
641,104,2024-06-01,ABCD,TDS,-1267.5
642,104,2024-06-01,ABCD,UFY,-4503.45
643,104,2024-06-01,EFGH,DCS,-1353.75
645,104,2024-06-01,EFGH,WXG,-409.2
646,104,2024-06-01,EFGH,XSX,-1243.6
648,104,2024-07-01,ABCD,GRH,-5589.15
649,104,2024-07-01,ABCD,KMS,-11618.5
650,104,2024-07-01,ABCD,KQI,-4507.2
651,104,2024-07-01,ABCD,MYF,-1708.5
653,104,2024-07-01,ABCD,TDS,-1610.5
654,104,2024-07-01,ABCD,UFY,-6732.95
655,104,2024-07-01,EFGH,DCS,-966.45
657,104,2024-07-01,EFGH,WXG,-516.8
658,104,2024-07-01,EFGH,XSX,-1688.8
660,104,2024-08-01,ABCD,GRH,-7463.4
661,104,2024-08-01,ABCD,KMS,-11301.75
662,104,2024-08-01,ABCD,KQI,-4638.2
663,104,2024-08-01,ABCD,MYF,-1682.4
664,104,2024-08-01,ABCD,QEK,-132.3
665,104,2024-08-01,ABCD,TDS,-843.7
666,104,2024-08-01,ABCD,UFY,-6829.55
667,104,2024-08-01,EFGH,DCS,-1273.65
669,104,2024-08-01,EFGH,WXG,-395.2
670,104,2024-08-01,EFGH,XSX,-998.2
672,104,2024-09-01,ABCD,GRH,-6961.15
673,104,2024-09-01,ABCD,KMS,-12197.35
674,104,2024-09-01,ABCD,KQI,-5780.4
675,104,2024-09-01,ABCD,MYF,-2121.3
